Label,Type,Description,Tag
Costanzo Preve,German idealism,Western philosophy,20th-century philosophy
Edgar Quinet,,,
Edward Said,Continental philosophy,Western philosophy,20th-century philosophy
Georges Sorel,Continental philosophy,Western philosophy,Modern philosophy
Hayden White,,,
Alonso Rodriguez,,,
Gustavo Bueno,Continental philosophy,Western philosophy,Contemporary philosophy
Matthew Hale (jurist),,,
Plínio Salgado,,,
Xavier Zubiri,Continental philosophy,Western philosophy,20th-century philosophy
Juan de Medina,,,
William Lane Craig,Analytic philosophy,Western philosophy,Contemporary philosophy
Western Christianity,,,
Bill Bright,,,
Edward John Carnell,,,
Wolfhart Pannenberg,,,
Richard Swinburne,,,
Abraham Kuyper,,,
William Harry Jellema,,,
William Alston,Analytic philosophy,Western philosophy,Contemporary philosophy
Nicholas Wolterstorff,,,
Peter van Inwagen,Analytic philosophy,Western philosophy,20th-
Michael C. Rea,,,
Robin Collins,Analytic Philosophy,Western Philosophy,Contemporary Philosophy
Keith DeRose,,,
Robert C. Koons,,,
Trenton Merricks,,,
Michael Bergmann (philosopher),,,
Brian Davies (philosopher),,,
J. P. Moreland,Analytic,Western philosophy,20th-century philosophy
Dallas Willard,,,
John Frame (theologian),,,
Michael Horton (theologian),,,
Giuseppe Peano,,,
Augustus De Morgan,,,
Georg Cantor,,,
Alexius Meinong,School of Brentano,Western philosophy,20th-century philosophy
Alfred North Whitehead,Analytic philosophy,Western philosophy,20th-century philosophy
G. E. Moore,Analytic philosophy,Western philosophy,19th
George Stout,[1],Western philosophy,Contemporary philosophy
James Ward (psychologist),British idealism,Western philosophy,Contemporary philosophy
Henry Sidgwick,Utilitarianism,Western philosophy,19th-century philosophy
Rudolf Carnap,Analytic,Western philosophy,20th-century philosophy
John von Neumann,,,
Willard Van Orman Quine,Analytic,Western philosophy,20th-century philosophy
Hilary Putnam,Analytic,Western philosophy,20th-century philosophy
Saul Kripke,Analytic,Western philosophy,Contemporary philosophy
J. L. Austin,Analytic,Western philosophy,20th-century philosophy
Kurt Grelling,Analytic philosophy,Western philosophy,20th-century philosophy
G. H. Hardy,,,
J. Robert Oppenheimer,,,
Leon Chwistek,,,
Alan Turing,,,
Jacob Bronowski,,,
Frank Ramsey (mathematician),Analytic philosophy,Western philosophy,20th-century philosophy
Jawaharlal Nehru,,,
Tariq Ali,,,
Sheikh Mujibur Rahman,,,
Michael Albert,,,
Che Guevara,,,
Bernard Williams,Analytic philosophy,Western philosophy,Contemporary philosophy
Donald Davidson (philosopher),Analytic,Western philosophy,20th-century philosophy
Nathan Salmon,Analytic philosophy,Western philosophy,20th-
Richard Dawkins,,,
Carl Sagan,,,
Albert Ellis,,,
Martin Gardner,,,
Buckminster Fuller,,Western philosophy,20th-century philosophy
Pervez Hoodbhoy,,,
Isaac Asimov,,,
Paul Kurtz,Scientific skepticism,,20th-century philosophy
Aleksandr Solzhenitsyn,,,
Kurt Vonnegut,,,
Ray Kurzweil,,,
Marvin Minsky,,,
Herbert A. Simon,,,
B. F. Skinner,,,
John Searle,Analytic,Western philosophy,Contemporary philosophy
Andrei Sakharov,,,
Stephen Hawking,,,
Joseph Rotblat,,,
Sidney Hook,Pragmatism,Western philosophy,20th-century philosophy
Frank Wilczek,,,
A. C. Grayling,Analytic philosophy,Western philosophy,Contemporary philosophy
Colin McGinn,Analytic philosophy,Western philosophy,Contemporary philosophy
Txillardegi,,,
Demosthenes,,,
Charles Babbage,,,
Francis Place,,,
James Mill,Associationism,Western philosophy,Modern philosophy
Harriet Taylor Mill,,,
Nassau William Senior,,,
Alexander Bain (philosopher),,,
François Guizot,,,
Josiah Warren,Utopian socialism,Western philosophy,19th century
Jean-François Marmontel,,,
Social liberalism,,,
Roger Crisp,Analytic philosophy,Western philosophy,Contemporary philosophy
John Rawls,Analytic philosophy,Western philosophy,20th-century philosophy
Adam Heydel,,,
Claude Adrien Helvétius,Utilitarianism,Western philosophy,18th-century philosophy
Cesare Beccaria,Classical school of criminology,Western philosophy,Age of Enlightenment
William Thompson (philosopher),Cooperative movement,Western philosophy,Modern philosophy
Peter Singer,Analytic philosophy,,
John Austin (legal philosopher),Legal positivism,Western philosophy,19th-century philosophy
Robert Owen,,,
H. L. A. Hart,,,
Francis Ysidro Edgeworth,,,
A. V. Dicey,,,
Étienne Dumont,Liberalism,,
François Bernier,,,
Acts of Union 1707,,,
Constitution of the United States,,,
Politics of the United States,,,
Adam Ferguson,Scottish Common Sense Realism,Western philosophy,18th-century philosophy
Amable Guillaume Prosper Brugière baron de Barante,,,
Feliks Koneczny,,,
Jacobins,,,
Quakers,,,
Mary Wollstonecraft,,,
Pierre Victurnien Vergniaud,,,
Abraham Lincoln,,,
Thomas Edison,,,
Jyotirao Phule,,,
Moncure D. Conway,,,
Robert G. Ingersoll,,,
Miguel de Cervantes,,,
Pierre Corneille,,,
Molière,,,
Jean Racine,,,
Vissarion Belinsky,,,
Lord Byron,,,
Catherine the Great,,,
Gustave Flaubert,,,
Alexander Herzen,Westernizers,Russian philosophy,19th-century philosophy
Mirza Aqa Khan Kermani,,,
Victor Hugo,,,
Napoleon,,,
David Strauss,,,
Saadi Shirazi,Persian poetry,,
Laurence Sterne,,,
Samuel Richardson,,,
François-Noël Babeuf,Utopian socialism,,18th-century philosophy
Étienne Bonnot de Condillac,Empiricism,Western philosophy,Modern philosophy
Baron d'Holbach,French materialism,Western philosophy,18th-century philosophy
Milan Kundera,,,
Günter Grass,,,
Jacques Barzun,,,
Jean le Rond d'Alembert,,,
Louise d'Épinay,,,
French Revolution,,,
American Revolution,,,
Maximilien Robespierre,,,
Louis Antoine de Saint-Just,,,
Counter-Enlightenment,,,
Romanticism,,,
Maria Montessori,,,
Henry David Thoreau,Transcendentalism,Western philosophy,19th-century philosophy
Dimitri Kitsikis,,,Contemporary
Germaine de Staël,Romanticism,,
Stanisław Staszic,Polish Enlightenment,Western philosophy,Age of Enlightenment
Erhard Weigel,,,
Tara Smith (philosopher),Objectivism,,
Leonard Peikoff,Objectivism,Western philosophy,Contemporary philosophy
Philippa Foot,Analytic philosophy,Western philosophy,20th-century philosophy
Rosalind Hursthouse,Analytic philosophy,Western philosophy,Contemporary philosophy
G. E. M. Anscombe,Analytic philosophy,Western philosophy,20th-century philosophy
Thomas Nagel,,,
Candace Vogler,,,
Michael Slote,,,
John McDowell,Postanalytic philosophy,Western philosophy,20th-century philosophy
Judith Jarvis Thomson,Analytic philosophy,Western philosophy,Contemporary philosophy
Fyodor Dostoevsky,,,
Ludwig Boltzmann,,,
Fritz Mauthner,,,
Adolf Loos,,,
Piero Sraffa,,,
Angelus Silesius,,,
Heinrich Hertz,,,
Georg Christoph Lichtenberg,,,
Hermann von Helmholtz,,,
Wittgensteinian philosophers,,,
Alice Ambrose,,,
Talal Asad,,,
Gordon Park Baker,,,
Nancy Bauer (philosopher),Postanalytic philosophy,Western philosophy,Contemporary philosophy
Richard J. Bernstein,Pragmatism,Western philosophy,20th-century philosophy
Anat Biletzki,,,
Max Black,Analytic philosophy,Western philosophy,20th-century philosophy
David Bloor,,,
Mel Bochner,,,
Jacques Bouveresse,Analytic philosophy,Western philosophy,Contemporary philosophy
Oets Kolk Bouwsma,Analytic philosophy,Western philosophy,20th-century philosophy
Pierre Bourdieu,Structuralism,,
Robert Brandom,Analytic,Western philosophy,Contemporary philosophy
John Cage,,,
Stanley Cavell,Postanalytic philosophy,,
Anne Carson,,,
Sophie Grace Chappell,,,
James F. Conant,Analytic,,
Alice Crary,Pittsburgh school,Western philosophy,Contemporary philosophy
Arthur Danto,Analytic,Western philosophy,20th-century philosophy
Veena Das,,,
Michel de Certeau,,,
Vincent Descombes,Continental philosophy,Western philosophy,Contemporary philosophy
Cora Diamond,,,
John Divola,,,
Maurice O'Connor Drury,,,
Michael Dummett,Analytic,Western philosophy,Contemporary philosophy
Paul Engelmann,,,
Postanalytic philosophy,,,
Jon Fosse,,,
Tristan Garcia,Continental philosophy,Western philosophy,21st-century philosophy
Clifford Geertz,,,
Simon Glendinning,Continental philosophy,Western philosophy,21st-century philosophy
Hans-Johann Glock,,,
Warren Goldfarb,Analytic,Western philosophy,Contemporary philosophy
Timothy Gowers,,,
Gilles-Gaston Granger,Analytic philosophy,Western philosophy,Contemporary philosophy
Jürgen Habermas,Continental philosophy,Western philosophy,Contemporary philosophy
Peter Hacker,Analytic philosophy,Western philosophy,Contemporary philosophy
Ian Hacking,Analytic philosophy,Western philosophy,20th-century philosophy
Pierre Hadot,Continental philosophy,Western philosophy,Contemporary philosophy
Gwen Harwood,,,
Stanley Hauerwas,,,
Ágnes Heller,Continental philosophy,Western philosophy,20th-century philosophy
Erich Heller,,,
Cressida Heyes,,,
Paul Horwich,Analytic,Western philosophy,Contemporary philosophy
Rahel Jaeggi,Frankfurt school,,Contemporary philosophy
Jasper Johns,,,
Kojin Karatani,,,
Pierre Klossowski,,,
Nikolas Kompridis,Continental philosophy,Western philosophy,Contemporary philosophy
Alfred Korzybski,,Western philosophy,Modern philosophy
Joseph Kosuth,,,
Quill Kukla,Pittsburgh school,,Contemporary philosophy
Language poets,,,
Sandra Laugier,Postanalytic philosophy,,21st-century philosophy
Jonathan Lear,,Western philosophy,Contemporary philosophy
Casimir Lewy,Analytic,Western philosophy,Contemporary philosophy
Alasdair MacIntyre,Analytic philosophy,Western philosophy,Contemporary philosophy
Norman Malcolm,Analytic philosophy,Western philosophy,20th-century philosophy
Avishai Margalit,Marxism,,
W. J. T. Mitchell,,,
Toril Moi,,,
Ray Monk,Analytic philosophy,Western philosophy,Contemporary philosophy
Adrian William Moore,,,
Richard Moran (philosopher),Analytic philosophy,,
Robert Morris (artist),,,
Chantal Mouffe,Post-Marxism,,Contemporary philosophy
Stephen Mulhall,Continental philosophy,Western philosophy,21st-century philosophy
Iris Murdoch,Analytic philosophy,Western philosophy,Contemporary philosophy
Bruce Nauman,,,
Kristóf Nyíri,,,
Eduardo Paolozzi,,,
Marjorie Perloff,,,
Hanna Fenichel Pitkin,,,
Thomas Pynchon,,,
Rupert Read,Analytic philosophy,,Contemporary philosophy
Steve Reich,,,
Rush Rhees,Analytic philosophy,Western philosophy,20th-century
David Rodowick,,,
Eleanor Rosch,,,
Constantine Sandis,Analytic philosophy,Western philosophy,21st-century philosophy
Elaine Scarry,,,
Naomi Scheman,,,
Quentin Skinner,,,
Hans Sluga,,,
P. F. Strawson,Analytic,Western philosophy,Contemporary philosophy
Charles Taylor (philosopher),Analytic philosophy,Western philosophy,Contemporary philosophy
Jane Taylor (writer),,,
Stephen Toulmin,Analytic,Western philosophy,20th-century philosophy
James Tully (philosopher),,,
Jules Vuillemin,Analytic philosophy,Western philosophy,20th-century philosophy
Friedrich Waismann,,,
Morris Weitz,,,
Albrecht Wellmer,,,
Michael Williams (philosopher),Analytic,Western philosophy,Contemporary philosophy
Peter Winch,,,
John Wisdom,,,
Crispin Wright,Analytic,Western philosophy,20th-century philosophy
Georg Henrik von Wright,Analytic philosophy,Western philosophy,20th-century philosophy
Otto von Bismarck,,,
Gustave Le Bon,,,
Alois Riehl,,,
Leo Frobenius,,,
Werner Sombart,,,
Ferdinand Lassalle,Social democracy,Western philosophy,19th-century philosophy
Karl Haushofer,,,
Ernst Jünger,,,
George F. Kennan,,,
Henry Kissinger,,,
H. P. Lovecraft,,,
Henry Miller,,,
Paul Nitze,,,
Francis Parker Yockey,,,
Oswald Mosley,,,
Robert Jay Mathews,,,
Carlos Keller,,,
Alberto Edwards,Conservative revolution,,
Influence and reception of Friedrich Nietzsche,,,
Ulrich Horstmann,,,
Alfred Kubin,,,
Max Seiling,,,
Ludwig Klages,Continental philosophy,Western philosophy,20th-century philosophy
Georg Simmel,Neo-Kantianism,Western philosophy,19th-century philosophy
Nae Ionescu,,,
Paul Valéry,,,
Constantin Noica,,,
Modistae,,,
Nicolai Hartmann,Continental philosophy,Western philosophy,20th-century philosophy
Emil Lask,Neo-Kantianism,Western philosophy,20th-century philosophy
Heinrich Rickert,Neo-Kantianism,Western philosophy,19th-century philosophy
Jakob Johann von Uexküll,,,
Paul Yorck von Wartenburg,,,
Jean Beaufret,,,
Simone de Beauvoir,Continental philosophy,Western philosophy,20th-century philosophy
Maurice Blanchot,Continental philosophy,Western philosophy,20th-century philosophy
Albert Borgmann,,,
Hubert Dreyfus,Continental philosophy,,
Aleksandr Dugin,Neo-Eurasianism,Russian philosophy,Contemporary philosophy
Nader El-Bizri,,,
Graham Harman,Continental philosophy,Western philosophy,Contemporary philosophy
Shūzō Kuki,Kyoto School,Japanese philosophy,20th-century philosophy
Gabriel Marcel,Christian existentialism,Western philosophy,20th-century philosophy
Herbert Marcuse,Continental philosophy,Western philosophy,20th-century philosophy
Quentin Meillassoux,Continental philosophy,Western philosophy,Contemporary philosophy
Jean-Luc Nancy,Continental philosophy,Western philosophy,20th-century philosophy
Christian Norberg-Schulz,,,
Jan Patočka,Continental philosophy,Western philosophy,20th-century philosophy
Reiner Schürmann,,,
Peter Sloterdijk,Phenomenology,Western philosophy,21st-century philosophy
Bernard Stiegler,Continental philosophy,Western philosophy,21st-century philosophy
Tomáš Masaryk,,,
Rudolf Steiner,,,
Carl Stumpf,School of Brentano,Western philosophy,20th-century philosophy
Anton Marty,School of Brentano,Western philosophy,20th-century philosophy
Kazimierz Twardowski,Lwów–Warsaw school,Western philosophy,19th-century philosophy
Christian von Ehrenfels,School of Brentano,Western philosophy,19th-century philosophy
Vittorio Benussi,Graz School,Western philosophy,20th century philosophy
Carl Menger,,,
David Hartley (philosopher),empiricism,Western philosophy,18th-century philosophy
Dugald Stewart,Scottish Common Sense Realism,Western philosophy,18th-century philosophy
Joseph Priestley,,,
James Beattie (poet),Scottish Common Sense Realism,,
Roderick Chisholm,Analytic philosophy,Western philosophy,20th-century philosophy
Victor Cousin,Continental philosophy,Western philosophy,19th-century philosophy
George Elder Davie,,,
Charles Hodge,,,
Michael Huemer,Analytic philosophy,Western philosophy,Contemporary philosophy
James Frederick Ferrier,,,
Keith Lehrer,Analytic,Western philosophy,Contemporary philosophy
William L. Rowe,Analytic philosophy,Western philosophy,Contemporary philosophy
Curt John Ducasse,Analytic philosophy,Western philosophy,Contemporary philosophy
Donald Cary Williams,Analytic philosophy,Western philosophy,Contemporary philosophy
Richard Taylor (philosopher),Analytic philosophy,Western philosophy,20th-century philosophy
Jaegwon Kim,Analytic,Western philosophy,20th-century philosophy
Ernest Sosa,Analytic,Western philosophy,21st-century philosophy
Peter D. Klein,Analytic philosophy,Western philosophy,Contemporary philosophy
Fred Feldman,,,
Selmer Bringsjord,,,
Dean Zimmerman (philosopher),Analytical philosophy,Western philosophy,21st-century philosophy
Edmund Gettier,Analytic philosophy,Western philosophy,Contemporary philosophy
Dale Jacquette,,,
Josiah Royce,American Pragmatism,Western philosophy,19th-century philosophy
Louis Agassiz,,,
William Kingdon Clifford,,,
Pierre Janet,,,
Afrikan Spir,Neo-Kantianism,Western philosophy,19th-century philosophy
Emanuel Swedenborg,,,
Jimmy Carter,,,
Morris Raphael Cohen,,Western philosophy,20th-century philosophy
W. E. B. Du Bois,,,
Robert Frost,,,
Marilynne Robinson,,,
Edwin Holt,,,
C. Wright Mills,,,
Paulo Freire,,,
Gertrude Stein,,,
Alfred Schütz,,,
Antonio Damasio,,,
William Herbert Sheldon,,,
Charles Hartshorne,Process philosophy,Western philosophy,20th-century philosophy
Octave Hamelin,,,
Alfred Jules Émile Fouillée,,,
William Ernest Hocking,Objective idealism,Western philosophy,Contemporary philosophy
John B. Cobb,,,
David Ray Griffin,Process theology,Western philosophy,20th-century philosophy
F. H. Bradley,British idealism,Western philosophy,19th-century philosophy
James Luther Adams,,,
Wilfred Eade Agar,,,
David Bohm,,,
C. D. Broad,Analytic,Western philosophy,20th-century philosophy
Milič Čapek,Process philosophy,Western philosophy,20th-century philosophy
Susanne Langer,Process philosophy,Western philosophy,20th-century philosophy
Ervin László,,,
F. S. C. Northrop,,,
Talcott Parsons,,,
Ilya Prigogine,,,
Wolfgang Smith,Realism,Western philosophy,20th-century philosophy
John Lighton Synge,,,
C. H. Waddington,,,
Michel Weber,,,
Sewall Wright,,,
Ken Wilber,,Western philosophy,Contemporary philosophy
Félix Ravaisson-Mollien,Continental philosophy,Western philosophy,19th-century philosophy
Herbert Spencer,Classical liberalism,Western philosophy,19th-century philosophy
Maine de Biran,French spiritualism,Western philosophy,Modern philosophy
Michel Aflaq,Ba'athism,Middle Eastern philosophy,Modern philosophy
T. S. Eliot,,,
Aldous Huxley,Perennialism,Western philosophy,20th-century philosophy
Émile Bréhier,,,
Stanisław Brzozowski (writer),Young Poland,Western philosophy,20th-century philosophy
Guy Debord,Continental philosophy,Western philosophy,20th-century philosophy
Vladimir Nabokov,,,
Vladimir Jankélévitch,Continental philosophy,Western philosophy,20th-century philosophy
Nikos Kazantzakis,,,
Necip Fazıl Kısakürek,Sufism,Islamic philosophy,20th-century philosophy
Édouard Le Roy,,,
Wyndham Lewis,,,
Emmanuel Mounier,Continental philosophy,Western philosophy,20th-century philosophy
Liang Shuming,,,
Anna-Teresa Tymieniecka,Phenomenology,Western philosophy,Contemporary philosophy
Dominique Janicaud,Continental philosophy,Western philosophy,Contemporary philosophy
Paul Ricœur,Continental philosophy,Western philosophy,20th-century philosophy
François Laruelle,Continental philosophy,Western philosophy,Contemporary philosophy
Étienne Pascal,,,
Gilles de Roberval,,,
Cornelius Jansen,,,
Evangelista Torricelli,,,
Gerolamo Cardano,,,
Pierre Duhem,Continental philosophy,Western philosophy,19th-century philosophy
Willem Hessels van Est,,,
Francisque Bouillier,,,
William Rankine,,,
Josiah Willard Gibbs,,,
Émile Jouguet,,,
John Worrall (philosopher),Analytic philosophy,Western philosophy,Contemporary philosophy
Stanley Jaki,,,
Stephen Menn,,,
Henri Poincaré,,,
Vladimir Lenin,,,
George Pólya,,,
Nancey Murphy,,,
Jean-Claude Milner,,,
Alan Chalmers,Analytic,Western philosophy,Contemporary philosophy
Aaron Sloman,,,
David Corfield,Analytic,Western philosophy,Contemporary philosophy
Paul E. Meehl,,,
Philipp Frank,,,
Felix Ehrenhaft,,,
Carl Friedrich von Weizsäcker,,,
Bruno Snell,,,
Vasco Ronchi,,,
Otto Neurath,Analytic philosophy,Western philosophy,20th-century philosophy
Paul Churchland,Analytic philosophy,Western philosophy,Contemporary philosophy
Deirdre McCloskey,,,
Stephen Jay Gould,,,
Laura Nader,,,
Terence McKenna,,,
Ioan Petru Culianu,,,
John Dupré,,,
Elisabeth Lloyd,,,
Nancy Cartwright (philosopher),Analytic,Western philosophy,Contemporary philosophy
Hasok Chang,,,
Donna Haraway,,,
Arthur Fine,Analytic,Western philosophy,20th-century philosophy
Sandra Harding,Feminist philosophy,Western philosophy,20th-century philosophy
Helen Longino,,,
Bas van Fraassen,Analytic philosophy,Western philosophy,Contemporary philosophy
Bruno Latour,Continental philosophy,Western philosophy,21st-century philosophy
Nancy J. Nersessian,,,
Abraham,,,
Johann Arndt,,,
Gottfried Arnold,,,
Franz Xaver von Baader,,,
François Fénelon,,,
Johan Ludvig Heiberg (poet),,,
Alphonsus Liguori,,,
Wolfgang Amadeus Mozart,,,
Poul Martin Møller,,,
Regine Olsen,,,
John van Ruysbroeck,,Western philosophy,medieval philosophy
Henry Suso,,,
Johannes Tauler,,,
Thomas à Kempis,,,
Gerhard Tersteegen,,,
Zacharias Werner,,,
Ingmar Bergman,,,
John D. Caputo,Continental philosophy,Western philosophy,20th-century philosophy
Karen L. Carr,Continental,Western philosophy,Contemporary philosophy
Yves Congar,,,
Jacques Ellul,Christian anarchism,Western philosophy,20th-century philosophy
Romano Guardini,,,
Henrik Ibsen,,,
Walter Kaufmann (philosopher),Continental philosophy,Western philosophy,20th-century philosophy
Rollo May,,,
H. Richard Niebuhr,,,
Walker Percy,,,
Miguel de Unamuno,Continental philosophy,Western philosophy,20th-century philosophy
Cornel West,Neopragmatism,Western philosophy,Contemporary philosophy
New Testament,,,
Heilwige Bloemardinne,,,
Hadewijch,,,
Geert Groote,,,
Jean Gerson,,,
Bossuet,,,
John of Schoonhoven,,,
Hendrik Herp,,,
Denis the Carthusian,,,
Laurentius Surius,,,
Thomas á Jesu,,,
Louis de Blois,,,
Leonardus Lessius,,,
Ernest Hello,,,
Maurice Maeterlinck,,,
Dag Hammarskjöld,,,
Evelyn Underhill,,,
Brethren of the Common Life,,,
Carl Friedrich Kielmeyer,,,
Isaac Bernays,,,
Carl Gustav Carus,,,
Alexander von Humboldt,,,
Christian Gottfried Daniel Nees von Esenbeck,,,
Iain Hamilton Grant,Continental philosophy,Western philosophy,Contemporary philosophy
Alexandru Hâjdeu,,,
Luigi Pareyson,,,
Charles Secrétan,,,
Vicente Ferreira da Silva,,,
Cornelius Van Til,Calvinism,Western philosophy,Modern philosophy
Christian Hermann Weisse,German idealism,Western philosophy,19th-century philosophy
List of Russian philosophers,,,
Ehrenfried Walther von Tschirnhaus,,,
Georg Bernhard Bilfinger,,,
Johannes Nikolaus Tetens,Phenomenalism,Western philosophy,18th-century philosophy
Emer de Vattel,International law,,
Michael Christoph Hanow,,,
Johann Christoph Gottsched,,,
Johann Heinrich Samuel Formey,,,
Mikhail Lomonosov,,,
Anton Wilhelm Amo,,,Contemporary philosophy
Adam Weishaupt,Empiricism,,Enlightenment era
Lu Jiuyuan,,,
Nakae Tōju,,,
Ōshio Heihachirō,,,
Yan Xishan,,,
Mou Zongsan,New Confucianism,Chinese philosophy,20th-century philosophy
Guo Xiang,,,
Wang Bi,,,
Zhuang Zhou,Taoism,Eastern philosophy,Ancient philosophy
Max Müller,,,
Xiong Shili,New Confucianism,Chinese philosophy,20th-century philosophy
Liu Shu-hsien,,,
Zhou dynasty,,,
Laozi,Taoism,Chinese philosophy,Ancient philosophy
Mozi,Mohism,Chinese philosophy,Ancient philosophy
Hui Shi,,,
Yang Zhu,,,
Taoism,,,
Chinese Buddhism,,,
Zen,,,
Eastern philosophy,,,
Alan Watts,Zen,Western philosophy,20th-century philosophy
Aleister Crowley,,,
Lie Yukou,,,
Bankei Yōtaku,Rinzai,,
Christmas Humphreys,,,
Dimitrije Mitrinović,Critical theory,Yugoslav philosophy,20th-century philosophy
Ruth Fuller Sasaki,,,
D. T. Suzuki,,,
Jean Burden,,,
Haridas Chaudhuri,,,
Jiddu Krishnamurti,,Eastern philosophy,20th-century philosophy
Gary Snyder,,,
Chungliang Al Huang,,,
Monica Furlong,,,
Seraphim Rose,,,
Robert Anton Wilson,Discordianism,Western philosophy,20th-century philosophy
Frank Herbert,,,
S. I. Hayakawa,,,
Robert A. Heinlein,,,
A. E. van Vogt,,,
William S. Burroughs,,,
Benjamin Peirce,,,
Richard Whately,,,
Louis Couturat,,,
John Deely,Continental philosophy,Western philosophy,20th-
Christine Ladd-Franklin,,,
Ernst Schröder (mathematician),,,
Richard Swedberg,,,
Karl-Otto Apel,Continental philosophy,Western philosophy,Contemporary philosophy
Hugh MacColl,,,
William Stanley Jevons,,,
William Ernest Johnson,,,
Claude Shannon,,,
Victor Shestakov,,,
Thomas Henry Huxley,,,
Jean-Baptiste Lamarck,,,
George Henry Lewes,Positivism,Western philosophy,Modern philosophy
Muhammad Abduh,,Middle East,
Gopal Ganesh Agarkar,,,
Arnold Bennett,,,
Abraham Cahan,,,
George Eliot,,,
Francisco Antonio Encina,Social determinism,,
R. Austin Freeman,,,
Henry Hazlitt,,,
Auberon Herbert,Classical liberalism,Western philosophy,19th century philosophy
D. H. Lawrence,,,
Jack London,,,
Robert Nozick,Analytic,Western philosophy,20th-century philosophy
Bolesław Prus,,,
Vinayak Damodar Savarkar,,,
Tokutomi Sohō,,,
William Graham Sumner,,,
Bal Gangadhar Tilak,,,
Edvard Westermarck,,,
Yan Fu,,,
Xavier Bichat,,,
Émile Littré,,,
Charles Maurras,Maurrassisme,Western philosophy,20th century philosophy
Harriet Martineau,,,
Pierre Laffitte,,,
Eugen Dühring,,,
Edward Spencer Beesly,,,
Frederic Harrison,,,
Mustafa Kemal Atatürk,,,
Charles-Jean-François Hénault,,,
Oliver Goldsmith,,,
François-René de Chateaubriand,,,
Félicité de La Mennais,,,
Monaldo Leopardi,Traditionalist conservatism,Western philosophy,18th-century philosophy
Gioacchino Ventura di Raulica,,,
Honoré de Balzac,,,
Pierre Guillaume Frédéric le Play,,,
Louis Veuillot,,,
François-René de La Tour du Pin Chambly marquis de La Charce,,,
Léon Duguit,,,
Adam Wielomski,,,
Bible,,,
Josephus,,,Hellenistic Judaism
Church Fathers,,,
Joan of Arc,,,
Ambrose Traversari,,,
Nicolas-Sylvestre Bergier,,,
George Washington,,,
John Marshall,,,
Rufus King,,,
John Jay,,,
John Carroll (archbishop of Baltimore),,,
Antoine Blanc de Saint-Bonnet,Ultramontanism,,
Karl Ludwig von Haller,Conservatism,Western philosophy,19th-century philosophy
Antonio Rosmini,,,19th-century philosophy
Jules Barbey d'Aurevilly,,,
Léon Bloy,,,
Georges Bernanos,,,
Charles Baudelaire,,,
Robert Hugh Benson,,,
William Thomas Walsh,,,
Warren H. Carroll,,,
Dimitrije Ljotić,,,
Pierre Boutang,,,
René Girard,,,
Éliphas Lévi,,,
Adrian Vermeule,,,
Augustin Thierry,,Western philosophy,Modern philosophy
Anne Robert Jacques Turgot,,,
Charles Dunoyer,,,
Nicolas Restif de la Bretonne,,,
Barthélemy-Prosper Enfantin,,,
Pierre Leroux,,,
Michel Chevalier,,,
Pereire brothers,,,
Lorenz von Stein,,,
Thorstein Veblen,,,
Walter Scott,,,
Liberalism,,,
André Chénier,,,
Thomas Clarkson,,,
Jean-Marie Roland de la Platière,,,
Jacques Pierre Brissot,,,
Edward Abramowski,Socialism,Western philosophy,19th-century philosophy
Joseph Déjacque,Anarcho-communism,Western philosophy,19th-century philosophy
Mykhailo Drahomanov,,,
Errico Malatesta,Anarcho-communism,,
Francesc Pi i Margall,,,
Antero de Quental,,,
Friedrich Wilhelm Schulz,,,
Benjamin Tucker,Anarchism,Western philosophy,Modern philosophy
Peter Lamborn Wilson,Post-anarchism,Western philosophy,Contemporary philosophy
Bob_Black,,,
André Breton,,,
Victor Prosper Considerant,,,
Jean-Baptiste André Godin,,,
Paul Goodman,,,
David Harvey,,,
Raoul Vaneigem,,,
Johann Jakob Bachofen,,,
Bertolt Brecht,,,
Eric Gutkind,,,
Susan Sontag,,,
Michael Taussig,,,
Michael Löwy,Continental philosophy,Western philosophy,20th-
Jonathan Boyarin,,,
Susan Buck-Morss,Continental philosophy,Western philosophy,20th-
Catherine Perret,,,
David Nirenberg,,,
Alban Berg,,,
Ernst Bloch,Western Marxism,,20th-century philosophy
Hans Cornelius,,,
Siegfried Kracauer,,,
Thomas Müntzer,,,
Ernesto Balducci,,,
Jürgen Moltmann,,,
Fredric Jameson,Western Marxism,Western philosophy,20th-
Wilhelm Windelband,Neo-Kantianism,Western philosophy,19th-century philosophy
George Vernadsky,,,
Kuno Fischer,Hegelianism,Western philosophy,19th-century philosophy
Hermann Lotze,German idealism,Western philosophy,19th-century philosophy
Ernst Troeltsch,Neo-Kantianism,Western philosophy,19th-century philosophy
Albert Schweitzer,,,
John Pentland Mahaffy,,,
Bruno Bauch,Neo-Kantianism,Western philosophy,20th-century philosophy
Otto Liebmann,,,
Benno Kerry,School of Brentano,Western philosophy,19th-century philosophy
Ernst Abbe,,,
Analytic philosophy,,,
Gustav Fechner,,,
Ernst Heinrich Weber,,,
Alfred Wilhelm Volkmann,,,
T. H. Green,British idealism,Western philosophy,19th-century philosophy
George Trumbull Ladd,,,
Borden Parker Bowne,,,
Georg Elias Müller,,,
Friedrich Eduard Beneke,Post-Kantianism,,19th-century philosophy
Antonio Labriola,Marxism,Western philosophy,19th-century philosophy
Moritz Wilhelm Drobisch,,,
Gustav Hartenstein,,,
Karl Fortlage,,,
John Daniel Morell,,,
