Label,Type,Description,Tag
Robert Boyle,,,
Tacitus,,,
William of Ockham,Scholasticism,Western philosophy,14th-century philosophy
Niccolò Machiavelli,Classical realism,Western philosophy,Renaissance philosophy
Paolo Sarpi,,,
Thomas White (scholar),,,
Roger Bacon,Scholasticism,Western philosophy,Medieval philosophy
Robert Grosseteste,Scholasticism,Western philosophy,Medieval philosophy
Political philosophy,,,
Jurisprudence,,,
Social philosophy,,,
Polybius,,,
Quintus Mucius Scaevola Augur,,,
Aulus Licinius Archias,,,
Apollonius Molon,,,
Antiochus of Ascalon,Eclecticism,Western philosophy,Hellenistic philosophy
Diogenes of Babylon,,,
Mnesarchus of Athens,,,
Sempronius Asellio,,,
Diodorus Siculus,,,
Strabo,,,
Livy,,,
Arrian,,,
Andrzej Maksymilian Fredro,Aristotelianism,Western philosophy,Baroque philosophy
John Adams,,,
Charles Joseph Minard,,,
José Ortega y Gasset,Continental philosophy,Western philosophy,20th-century philosophy
Ammonius of Athens,,,
Alcinous (philosopher),,,
Aristides,,,
Atticus (philosopher),,,
Basil of Caesarea,,,
Ludwig van Beethoven,,,
Cyril of Alexandria,,,
Eusebius,,,
Johann Wolfgang von Goethe,,,
Jean Paul,,,
Numenius of Apamea,,,
Porphyry (philosopher),Neoplatonism,Western philosophy,Ancient philosophy
Proclus,Neoplatonism,Western philosophy,Ancient philosophy
Friedrich Schiller,,,
Sextus of Chaeronea,,Western philosophy,Hellenistic philosophy
Eratosthenes,,,
Megasthenes,,,
Gaius Musonius Rufus,Stoicism,Western philosophy,Ancient philosophy
Sphaerus,Stoicism,Western philosophy,Ancient philosophy
Philo,Middle Platonism,Jewish philosophy,Ancient philosophy
Pantaenus,Stoicism,Western philosophy,Ancient philosophy
Tatian,,,
Celsus,,,
Christian philosophy,,,
Pope Benedict XVI,Augustinism,Western philosophy,Contemporary philosophy
Aristobulus of Alexandria,,,
Hellenistic Judaism,,,
History of early Christianity,,,
Origen,Neoplatonism,Western philosophy,Ancient philosophy
Apollophanes,,,
Chaeremon,,,
Clement of Rome,,,
Lucius Annaeus Cornutus,,,
Ignatius of Antioch,,,
Moderatus of Gades,,,
Nicomachus,,,
Christian theology,,,
Athanasius of Alexandria,Nicene Christianity,,Patristic Age
Arius,,,
Tyrannius Rufinus,,,
John II (bishop of Jerusalem),,,
Pope Dionysius of Alexandria,,,
Gregory of Nyssa,,,
Gregory of Nazianzus,,,Patristic age
Gregory Thaumaturgus,,,
Theophilus I of Alexandria,,,
Maximus the Confessor,,,
John Scotus Eriugena,Neoplatonism,Western philosophy,Medieval philosophy
Erasmus,,,Renaissance philosophy
Henry More,,,
Karl Rahner,Transcendental Thomism,Western philosophy,20th-century philosophy
Hans Urs von Balthasar,,,
Henri de Lubac,,,
Pseudo-Dionysius the Areopagite,Neoplatonism,Western philosophy,Ancient philosophy
Boethius,Neoplatonism,Western philosophy,Medieval philosophy
Alcuin,,,Medieval philosophy
Israel the Grammarian,,,
Peter Damian,,,
Berengar of Tours,,,
Solomon ibn Gabirol,Neoplatonism,Jewish philosophy,Medieval philosophy
Bernard of Clairvaux,,,
Hildegard of Bingen,Neoplatonism,Western philosophy,Medieval philosophy
School of Chartres,,,
School of Saint Victor,,,
Bernardus Silvestris,,,
Alain de Lille,,,Medieval philosophy
Honorius Augustodunensis,,,
Amalric of Bena,,,
Albertus Magnus,Scholasticism,Western philosophy,Medieval philosophy
Bonaventure,Scholasticism,Western philosophy,Medieval philosophy
Nicholas of Cusa,Renaissance humanism,Western philosophy,Medieval philosophy
Iamblichus,Neoplatonism,Western philosophy,Ancient philosophy
Modern philosophy,,,
Western esotericism,,,
Ammonius Saccas,Neoplatonism,Western philosophy,Ancient philosophy
Alexander of Aphrodisias,Peripatetics,,
Neopythagoreanism,,,
Julian (emperor),,,
Hypatia,Neoplatonism,Western philosophy,Ancient philosophy
Hierocles of Alexandria,,,
Damascius,,,
Al-Kindi,Aristotelianism,Islamic philosophy,Islamic Golden Age
Avicenna,Aristotelianism,Middle Eastern philosophy,Islamic Golden Age
Gemistos Plethon,Byzantine philosophy,Western philosophy,Renaissance philosophy
Henri Bergson,Continental philosophy,Western philosophy,20th-century philosophy
Arthur Drews,German idealistic,Western philosophy,Late modern philosophy
Neoplatonism and Christianity,,,
Neoplatonism and Gnosticism,,,
Platonism in the Renaissance,,,
Traditionalist School (perennialism),,,
Tertullian,,,Patristic age
Theon of Alexandria,,,
Synesius,,,
Sosigenes the Peripatetic,,,
Herminus,,,
Aristotle of Mytilene,,,
Pietro Pomponazzi,,,
Cesare Cremonini (philosopher),Aristotelianism,Western philosophy,Renaissance philosophy
Talmud,,,
Al-Farabi,Aristotelianism,Islamic philosophy,Islamic Golden Age
Avempace,,,
Averroes,Aristotelianism,Islamic philosophy,Medieval
Al-Ghazali,Shafiʿi,Nishapur,Islamic Golden Age
Jewish philosophy,,,
Thomas Aquinas,Scholasticism,Western philosophy,Medieval philosophy
James Joyce,,,
Jean Bodin,Mercantilism,Western philosophy,Renaissance philosophy
Gottfried Wilhelm Leibniz,Rationalism,Western philosophy,17th-
Leo Strauss,Continental philosophy,Western philosophy,20th-century philosophy
Martin Buber,Continental philosophy,Western philosophy,20th-century philosophy
Franz Rosenzweig,Continental philosophy,Western philosophy,20th-century philosophy
Michael Friedländer,,,
Emil Fackenheim,Continental philosophy,Western philosophy,20th-century philosophy
Emmanuel Levinas,Continental philosophy,Western philosophy,20th-century philosophy
Ptolemy,,,
Yahya ibn Adi,,,
Abu Sulayman Sijistani,,,
Abu al-Hassan al-Amiri,,,
Abu Hayyan al-Tawhidi,,Iraq,Islamic golden age
Shihab al-Din Yahya ibn Habash Suhrawardi,Perennial philosophy,,
Sossianus Hierocles,,,
Aristotelianism,,,
Isagoge,,,
Anatolius of Laodicea,,,
Aedesius,,,
Maximus of Ephesus,,,
Marsilio Ficino,Christian humanism,,Renaissance philosophy
Meister Eckhart,Neoplatonism,Western philosophy,Medieval philosophy
Ramon Llull,Lullism,Western philosophy,Medieval philosophy
Nicolaus Copernicus,,,
Galileo Galilei,,,
Thomas More,Christian humanism,Western philosophy,Renaissance philosophy
John Fisher,,,
Giovanni Pico della Mirandola,Renaissance philosophy,Western philosophy,Renaissance philosophy
Ludwig von Bertalanffy,,,
Giordano Bruno,Renaissance humanism,,Renaissance
Mário Ferreira dos Santos,Pythagoreanism,Western philosophy,20th-century philosophy
Roberto Mangabeira Unger,Radical pragmatism,Western philosophy,20th-
Karl Jaspers,Neo-Kantianism,Western philosophy,20th-century philosophy
Harry Mulisch,,,
Jordan of Saxony,,,
Peter Lombard,,,
Abu Bakr al-Razi,,,Islamic Golden Age
Al-Biruni,,Ziyarid dynasty,Islamic Golden Age
Abu Sahl 'Isa ibn Yahya al-Masihi,,,
Abul Hasan Hankari,,Hankar,Islamic Golden Age
Omar Khayyam,,,
Nasir al-Din al-Tusi,,Persia,Islamic Golden Age
Ibn al-Nafis,,Syria,Islamic Golden Age
Ibn Tufail,,Al-Andalus,Islamic Golden Age
Duns Scotus,Scholasticism,Western philosophy,Medieval philosophy
Abu 'Ubayd al-Juzjani,,,
Age of Enlightenment,,,
Seyyed Hossein Nasr,Perennial Philosophy,Islamic philosophy,Contemporary philosophy
Al-Sijzi,,,
Al-Khazini,,,
Zakariya al-Qazwini,,,
Abu Saeed Mubarak Makhzoomi,,,
Al-Bayhaqi,,,Islamic golden age
Abd al-Qahir al-Jurjani,,,
Abu al-Hassan al-Kharaqani,,,
Abu Bakr ibn al-Arabi,,,Islamic Golden Age
Ayn al-Quzat Hamadani,,,
Al-Nawawi,Shafi'i,,
Ibn Tumart,,Maghreb,
Fakhr al-Din al-Razi,,Persia,Islamic Golden Age
Suyuti,,Egypt,
Tan Malaka,,Eastern philosophy,Modern philosophy
Shah Waliullah Dehlawi,,,
Sayf al-Din al-Amidi,,Ayyubid dynasty,
Asad Mayhani,,Persia,Islamic Golden Age
Ali al-Qari,,Khurasan,
Muhammad ibn Yahya al-Janzi,,Persia,Islamic Golden Age
Malik ibn Anas,,Hejaz,Islamic Golden Age
Nur ad-Din al-Bitruji,,,Islamic Golden Age
Samuel ibn Tibbon,,,
